Timestamp,What school of UT are you in,Where are you living this year?,How many bedrooms in your apt,How many bathrooms in your apt,How much do you pay monthly just for the apartment?,When did you sign your lease? (Approximations are cool :P),Rate your satisfaction of the apt from 1-10!,What is your walk time to your classes?,Extra Notes,,
10/21/2023 12:27:13,"CNS, COLA",2400 Nueces ,2,2,1350,6/1/2023,8,5 - 10 min,,,1
10/21/2023 12:27:03,CNS,26 West,2,1,1120,2/1/2023,9,11 - 15 min,,,
10/21/2023 12:12:43,Cockrell,26 West,4,4,1029,10/1/2022,8,11 - 15 min,,,3
10/21/2023 12:14:47,Cockrell,26 West,4,2,1025,7/30/2022,7,11 - 15 min,,,2
10/21/2023 13:53:43,Cockrell,26 West,4,2,1019,10/15/2022,8,11 - 15 min,,,4
10/21/2023 13:58:40,"CNS, McCombs",26 West,4,4,989,10/10/2022,7,11 - 15 min,,,5
10/21/2023 12:26:53,CNS,Crest at Pearl,2,1,1250,9/18/2022,9,16 - 20 min,,,
10/21/2023 15:11:53,"Moody, McCombs",Crest at Pearl,4,4,1174,5/20/2023,8,5 - 10 min,,,8
10/21/2023 13:25:03,Cockrell,GrandMarc ,4,4,1199,10/3/2022,8,5 - 10 min,,,10
10/21/2023 14:01:13,CNS,Inspire on 22nd,3,3,1300,11/1/2022,9,11 - 15 min,,,12
10/21/2023 12:26:43,CNS,Ion,1,1,1480,9/14/2022,9,5 - 10 min,,,
10/21/2023 12:18:43,McCombs,Ion,3,3,1179,9/20/2022,6,5 - 10 min,,,17
10/21/2023 12:21:06,Cockrell,Ion,3,3,1247,10/5/2022,6,5 - 10 min,,,19
10/21/2023 12:23:26,Cockrell,Ion,3,3,1260,9/15/2022,10,11 - 15 min,,,16
10/21/2023 12:29:57,McCombs,Ion,3,3,1150,9/1/2022,6,5 - 10 min,,,13
10/21/2023 12:12:19,CNS,Ion,4,4,1229,9/27/2022,8,11 - 15 min,,,18
10/21/2023 12:14:38,McCombs,Ion,4,4,1200,11/15/2022,8,5 - 10 min,,,20
10/21/2023 12:14:55,iSchool,Ion,4,4,1189,9/15/2022,8,5 - 10 min,,,15
