Apartment,School,Distance
Quarters Nueces,Cockrell,0.68 miles
Quarters Nueces,CNS,0.43 miles
Quarters Nueces,Architecture,0.31 miles
Quarters Nueces,Moody,0.43 miles
Quarters Nueces,COLA,0.43 miles
Quarters Nueces,McCombs,0.56 miles
Quarters Nueces,Fine Arts,0.87 miles
Quarters Nueces,Education,0.87 miles
Quarters Nueces,Geosciences,0.68 miles
Pointe on Rio,Cockrell,0.93 miles
Pointe on Rio,CNS,0.62 miles
Pointe on Rio,Architecture,0.37 miles
Pointe on Rio,Moody,0.75 miles
Pointe on Rio,COLA,0.37 miles
Pointe on Rio,McCombs,0.56 miles
Pointe on Rio,Fine Arts,0.93 miles
Pointe on Rio,Education,0.75 miles
Pointe on Rio,Geosciences,0.81 miles
Moontower,Cockrell,0.75 miles
Moontower,CNS,0.43 miles
Moontower,Architecture,0.19 miles
Moontower,Moody,0.43 miles
Moontower,COLA,0.31 miles
Moontower,McCombs,0.43 miles
Moontower,Fine Arts,0.81 miles
Moontower,Education,0.75 miles
Moontower,Geosciences,0.56 miles
Waterloo,Cockrell,0.68 miles
Waterloo,CNS,0.37 miles
Waterloo,Architecture,0.37 miles
Waterloo,Moody,0.37 miles
Waterloo,COLA,0.5 miles
Waterloo,McCombs,0.56 miles
Waterloo,Fine Arts,0.81 miles
Waterloo,Education,0.81 miles
Waterloo,Geosciences,0.62 miles
The Mark,Cockrell,0.87 miles
The Mark,CNS,0.56 miles
The Mark,Architecture,0.43 miles
The Mark,Moody,0.56 miles
The Mark,COLA,0.62 miles
The Mark,McCombs,0.75 miles
The Mark,Fine Arts,0.99 miles
The Mark,Education,0.99 miles
The Mark,Geosciences,0.81 miles
Twenty Two Fifteen,Cockrell,0.81 miles
Twenty Two Fifteen,CNS,0.5 miles
Twenty Two Fifteen,Architecture,0.25 miles
Twenty Two Fifteen,Moody,0.5 miles
Twenty Two Fifteen,COLA,0.43 miles
Twenty Two Fifteen,McCombs,0.56 miles
Twenty Two Fifteen,Fine Arts,0.87 miles
Twenty Two Fifteen,Education,0.87 miles
Twenty Two Fifteen,Geosciences,0.68 miles
Lark,Cockrell,0.81 miles
Lark,CNS,0.56 miles
Lark,Architecture,0.25 miles
Lark,Moody,0.62 miles
Lark,COLA,0.31 miles
Lark,McCombs,0.5 miles
Lark,Fine Arts,0.87 miles
Lark,Education,0.68 miles
Lark,Geosciences,0.68 miles
33rd Street Condo,Cockrell,0.93 miles
33rd Street Condo,CNS,0.99 miles
33rd Street Condo,Architecture,0.93 miles
33rd Street Condo,Moody,0.56 miles
33rd Street Condo,COLA,1.12 miles
33rd Street Condo,McCombs,1.18 miles
33rd Street Condo,Fine Arts,1.24 miles
33rd Street Condo,Education,1.24 miles
33rd Street Condo,Geosciences,1.12 miles
Signature,Cockrell,0.87 miles
Signature,CNS,0.62 miles
Signature,Architecture,0.31 miles
Signature,Moody,0.68 miles
Signature,COLA,0.31 miles
Signature,McCombs,0.56 miles
Signature,Fine Arts,0.93 miles
Signature,Education,0.75 miles
Signature,Geosciences,0.75 miles
26 West,Cockrell,0.81 miles
26 West,CNS,0.68 miles
26 West,Architecture,0.62 miles
26 West,Moody,0.25 miles
26 West,COLA,0.75 miles
26 West,McCombs,0.87 miles
26 West,Fine Arts,1.06 miles
26 West,Education,1.12 miles
26 West,Geosciences,0.87 miles
900 W 23rd,Cockrell,0.87 miles
900 W 23rd,CNS,0.62 miles
900 W 23rd,Architecture,0.5 miles
900 W 23rd,Moody,0.56 miles
900 W 23rd,COLA,0.62 miles
900 W 23rd,McCombs,0.75 miles
900 W 23rd,Fine Arts,1.06 miles
900 W 23rd,Education,1.06 miles
900 W 23rd,Geosciences,0.87 miles
Villas on Rio,Cockrell,0.81 miles
Villas on Rio,CNS,0.5 miles
Villas on Rio,Architecture,0.25 miles
Villas on Rio,Moody,0.62 miles
Villas on Rio,COLA,0.37 miles
Villas on Rio,McCombs,0.5 miles
Villas on Rio,Fine Arts,0.87 miles
Villas on Rio,Education,0.81 miles
Villas on Rio,Geosciences,0.62 miles
2400 Nueces,Cockrell,0.68 miles
2400 Nueces,CNS,0.37 miles
2400 Nueces,Architecture,0.37 miles
2400 Nueces,Moody,0.25 miles
2400 Nueces,COLA,0.5 miles
2400 Nueces,McCombs,0.56 miles
2400 Nueces,Fine Arts,0.81 miles
2400 Nueces,Education,0.81 miles
2400 Nueces,Geosciences,0.62 miles
Ion,Cockrell,0.75 miles
Ion,CNS,0.5 miles
Ion,Architecture,0.19 miles
Ion,Moody,0.56 miles
Ion,COLA,0.25 miles
Ion,McCombs,0.43 miles
Ion,Fine Arts,0.81 miles
Ion,Education,0.62 miles
Ion,Geosciences,0.62 miles
Skyloft,Cockrell,0.75 miles
Skyloft,CNS,0.43 miles
Skyloft,Architecture,0.25 miles
Skyloft,Moody,0.43 miles
Skyloft,COLA,0.37 miles
Skyloft,McCombs,0.5 miles
Skyloft,Fine Arts,0.81 miles
Skyloft,Education,0.81 miles
Skyloft,Geosciences,0.62 miles
