Timestamp,School,Location,Bedrooms,Bathrooms,Rent,Date Signed,Satisfaction,Walk Time,
10/21/2023 12:10:11,Cockrell,Quarters Nueces,3,3,1150,10/20/2022,8,5 - 10 min,
10/21/2023 12:10:39,COLA,Pointe on Rio,4,3,1080,10/20/2022,8,11 - 15 min,
10/21/2023 12:10:39,McCombs,The Nine on Rio,4,4,1250,12/1/2022,8,5 - 10 min,
10/21/2023 12:11:29,CNS,Skyloft ,4,3,1140,9/28/2022,7,5 - 10 min,
10/21/2023 12:11:51,Cockrell,Skyloft ,4,3,1080,10/20/2022,8,11 - 15 min,
10/21/2023 12:12:04,McCombs,The Nine at Rio,4,4,1295,2/10/2022,6,5 - 10 min,
10/21/2023 12:12:19,CNS,Ion,4,4,1229,9/27/2022,8,11 - 15 min,
10/21/2023 12:12:31,CNS,Lark Austin,2,2,800,10/5/2022,7,11 - 15 min,
10/21/2023 12:12:38,CNS,Lark,2,2,775,9/1/2022,9,5 - 10 min,
10/21/2023 12:12:43,Cockrell,26 West,4,4,1029,10/1/2022,8,11 - 15 min,
10/21/2023 12:13:58,Cockrell,The Nine at Rio,4,4,1250,9/21/2023,8,16 - 20 min,
10/21/2023 12:14:02,CNS,Skyloft,3,3,1034,4/1/2023,10,5 - 10 min,
10/21/2023 12:14:21,CNS,Lark Austin,2,2,800,9/15/2022,7,11 - 15 min,
10/21/2023 12:14:38,McCombs,Ion,4,4,1200,11/15/2022,8,5 - 10 min,
10/21/2023 12:14:42,CNS,Lenox Condos,2,2,900,7/15/2023,9,16 - 20 min,
10/21/2023 12:14:47,Cockrell,26 West,4,2,1025,7/30/2022,7,11 - 15 min,
10/21/2023 12:14:48,Cockrell,Rambler,6,6,1050,9/20/2022,7,11 - 15 min,
10/21/2023 12:14:49,COLA,Twenty Two 15,4,4,1180,11/30/2022,6,11 - 15 min,
10/21/2023 12:14:55,iSchool,Ion,4,4,1189,9/15/2022,8,5 - 10 min,
10/21/2023 12:14:56,CNS,Lark ,4,4,1205,10/15/2022,7,11 - 15 min,
10/21/2023 12:15:01,CNS,Lark,4,4,1275,9/15/2022,9,5 - 10 min,
10/21/2023 12:15:12,CNS,Waterloo,4,4,1540,10/10/2022,9,5 - 10 min,
10/21/2023 12:16:33,Cockrell,Pointe on rio,4,4,1050,10/10/2022,9,16 - 20 min,
10/21/2023 12:16:41,COLA,The Mark,4,4,1245,3/15/2023,5,11 - 15 min,
10/21/2023 12:16:44,Cockrell,The Mark,4,4,1315,10/15/2022,7,11 - 15 min,
10/21/2023 12:17:12,McCombs,The Mark,6,6,1035,12/1/2022,8,5 - 10 min,
10/21/2023 12:17:36,COLA,The Mark,4,4,1400,3/20/2023,8,5 - 10 min,
